fips,opioid_presc_rate,total_population,average_household_size,percent_grad_high_school,median_household_income,perc_male,perc_foreign_born,poverty_population,f,overdose_death_rate_2
5049,116.7,12224,2.27,0.8546751365206732,37066,0.49533704188481675,0.015379581151832461,2383,26,25.05
5051,176.3,96954,2.35,0.8813625402509638,38733,0.48395115209274503,0.0315304164861687,19802,26,25.05
5053,77.5,18054,2.61,0.8894715611133521,46171,0.49158081311620694,0.014567408884457738,2134,14,13.05
5055,177.8,43382,2.56,0.8392005292663394,41286,0.4950670785118252,0.009727536766400811,7572,22,21.05
5057,115.7,22336,2.81,0.7812626740570502,32122,0.482942335243553,0.06469376790830945,5940,10,9.05
5059,105.3,33316,2.59,0.8475622829209725,40000,0.512936727098091,0.010985712570536679,5975,14,13.05
5061,161.6,13555,2.65,0.780474166853053,34229,0.4866101069715972,0.056805606787163405,2910,12,11.05
5063,159.8,36952,2.52,0.8292252815518416,36265,0.488850400519593,0.035667893483437976,7783,14,13.05
5065,104,13480,2.28,0.8208955223880597,32630,0.5190652818991098,0.02344213649851632,2663,26,25.05
5067,150.4,17597,2.25,0.769774459974587,31261,0.4965050860942206,0.0072739671534920725,3819,16,15.05
5069,108.6,73548,2.41,0.8477823821441759,36747,0.49171969326154347,0.016927720672214066,17205,8,7.05
5071,127.4,25930,2.5,0.7926728707739428,34139,0.49494793675279597,0.07643655996914771,5574,16,15.05
5073,111.2,7270,2.52,0.7838152532505337,31194,0.4861072902338377,0.007152682255845942,1731,12,11.05
5075,37.5,17029,2.45,0.820570831883049,32379,0.4875800105702038,0.0071642492219155555,3899,18,17.05
5077,68.2,9966,2.34,0.6880286738351254,28393,0.5579971904475216,0.011037527593818985,2304,12,11.05
5079,67.6,14062,2.43,0.7836819668880738,32580,0.6112928459678566,0.014649409756791352,2257,10,9.05
5081,163.5,12720,2.39,0.8483906770255272,36205,0.5018867924528302,0.011477987421383647,2402,16,15.05
5083,41.2,22001,2.48,0.8246398737091364,35325,0.5009772283078042,0.01840825417026499,4158,20,19.05
5085,101.5,70691,2.7,0.8719045229419851,53631,0.49272184577951933,0.020837164561259565,8697,12,11.05
5087,79.3,15702,2.46,0.7844083526682134,37691,0.5008916061648198,0.032607311170551524,3183,12,11.05
5089,83.3,16458,2.43,0.8539084842707341,34195,0.4965366387167335,0.014157248754405152,3064,22,21.05
5091,109.3,43652,2.5,0.8523380377486822,40317,0.49344818106845045,0.008934298543022084,8594,10,9.05
5093,138.6,44864,2.57,0.7963813597952243,34612,0.48624732524964337,0.018388908701854494,11781,12,11.05
5095,92.6,7713,2.27,0.7689750692520776,27647,0.4721898094126799,0.01348372876960975,2501,16,15.05
5097,93.4,9197,2.33,0.8037786373103243,33037,0.4944003479395455,0.023485919321517886,1620,20,19.05
5099,–,8793,2.48,0.8337201591511937,30691,0.4966450585693165,0.015580575457750483,2424,14,13.05
5101,0.8,8052,2.42,0.8190411883862255,34536,0.5011177347242921,0.010432190760059613,1637,26,25.05
5103,143.4,25044,2.34,0.860838433999307,31293,0.47077144226161954,0.008105733908321354,5948,14,13.05
5105,51.2,10300,2.62,0.8125784409426858,42346,0.4983495145631068,0.008349514563106796,1624,18,17.05
5107,159.8,20391,2.48,0.7541237512584218,26844,0.46731401108332105,0.00769947525869256,6882,14,13.05
5109,97.6,11087,2.5,0.8149354880750684,33097,0.48886082799675296,0.042031207720754034,2199,18,17.05
5111,120.7,24210,2.57,0.7690137389597644,33070,0.48818669971086326,0.00896323833126807,5416,20,19.05
5113,117.8,20364,2.56,0.8511858407079645,33702,0.4875761147122373,0.031673541543901,4878,20,19.05
5115,132.6,62830,2.62,0.8268651426546163,39810,0.4947159000477479,0.0441667992996976,11818,12,11.05
5117,82.1,8402,2.16,0.7926548089591567,35833,0.49238276600809333,0.0030945013092120925,1766,16,15.05
5119,105.2,390463,2.49,0.8967143140758388,46140,0.4796664472690114,0.05211761421696806,67908,16,15.05
5121,114.2,17695,2.36,0.8248716486023959,34044,0.4904210228878214,0.005820853348403504,3651,18,17.05
5123,94.8,27345,2.51,0.7850872497591265,32105,0.5484000731395137,0.02461144633388188,5857,12,11.05
5125,97.4,113833,2.66,0.8860153867745186,55817,0.4912459480115608,0.025071815730060704,10176,16,15.05
5127,124.7,10870,2.66,0.7728836889194769,37321,0.5112235510579577,0.04783808647654094,2165,22,21.05
5129,82.6,7965,2.48,0.8194111605614516,33083,0.5001883239171375,0.008286252354048965,1855,22,21.05
5131,169,127273,2.53,0.821736170009437,38575,0.4899310930048007,0.09840264628004368,28975,22,21.05
5133,65.5,17268,2.81,0.6924592009003939,36579,0.4958883483900857,0.17060458651841556,3755,16,15.05
5135,138.5,17055,2.37,0.8315952419749063,30691,0.48677807094693637,0.006684256816182938,3944,28,27.05
5137,152.7,12512,2.4,0.7911259012756517,29264,0.5067135549872123,0.003117007672634271,3042,20,19.05
5139,131.5,40633,2.43,0.8343822337962963,38678,0.48335097088573326,0.020795904806438118,8172,16,15.05
5141,103.1,17002,2.44,0.8193729903536977,32312,0.49417715562874953,0.02276202799670627,3574,14,13.05
5143,98.5,216432,2.55,0.8351497481700874,43524,0.49966733200266134,0.11405891919863975,41846,12,11.05
5145,123.5,78660,2.55,0.8325067224380042,42554,0.49244851258581235,0.02368421052631579,14175,14,13.05
5147,3.8,6983,2.36,0.7345653939886271,28993,0.48403265072318485,0.006301016754976371,1612,20,19.05
5149,66.9,21835,2.8,0.7575113184250241,37804,0.49480192351728874,0.11055644607281886,4009,16,15.05
4001,18.5,72124,3.67,0.7678149743019864,31757,0.4944678609062171,0.019535799456491598,25852,14,13.05
4003,79,129647,2.42,0.8662887214988312,45075,0.5098459663547942,0.11416384490192599,21102,22,21.05
4005,51.4,136701,2.7,0.8842035142404665,50234,0.49416609973592,0.05435219932553529,28824,18,17.05
4007,110,53165,2.5,0.8398833242180379,39751,0.49724442772500704,0.04335559108436001,11839,NA,NA
4009,84.1,37407,3.02,0.8476696216975336,45964,0.53596920362499,0.04793220520223487,7446,22,21.05
4011,0,9023,2.78,0.8567634560906515,51628,0.5262107946359303,0.046436883519893606,1215,22,21.05
4012,78.3,20335,2.14,0.7594789785916947,34466,0.5103516105237276,0.12721908040324564,3824,NA,NA
4013,68.2,4018143,2.75,0.8676970308286234,54229,0.49429749015901125,0.1481415668879878,673527,24,23.05
4015,127.5,203362,2.43,0.8403500378742574,38488,0.503392964270611,0.07283563300911675,38874,28,27.05
4017,67.5,107656,3.08,0.8145175699821322,35921,0.5014490599687895,0.026584677119714645,32141,24,23.05
4019,74,998537,2.49,0.8758130933075816,46162,0.4918275436964279,0.12925610167675308,187250,NA,NA
4021,58.3,389772,2.87,0.8498462948465813,49477,0.5195396282955164,0.1014003058198126,63201,20,19.05
4023,29.3,47073,3.04,0.7319867868694515,40140,0.4793830858453891,0.3360100269793725,10970,14,13.05
4025,97.8,215996,2.3,0.8966901010299648,44748,0.48932850608344597,0.0674040260004815,34117,30,29.05
4027,56.6,202987,2.77,0.7114185471652978,40743,0.5112593417312439,0.26290353569440406,40508,16,15.05
6001,31.1,1584983,2.78,0.8694465884567598,75619,0.49003617073495426,0.313576864862273,194639,14,13.05
6003,–,1131,3.06,0.8952879581151832,52917,0.5782493368700266,0.03359858532272325,195,6,5.05
6005,112.3,36995,2.36,0.8836309108662296,54171,0.5409379645898095,0.05530477091498851,4191,24,23.05
6007,125.4,222564,2.55,0.8798552000782702,43444,0.4947565644039467,0.07620729318308442,47532,30,29.05
6009,83.5,44767,2.45,0.9164313946922643,53233,0.4946277391828802,0.05191323966314473,5590,22,21.05
6011,45.2,21396,3.04,0.6817839951865222,52168,0.5201439521405871,0.24513927836978874,3171,12,11.05
6013,40.8,1096068,2.82,0.8892732631397372,80185,0.48775988351087707,0.2394249261907108,117915,14,13.05
6015,133.7,27788,2.55,0.7995605967708972,40847,0.5548438174751691,0.05865841370375702,5207,22,21.05
6017,63.7,182093,2.69,0.9230620034756704,69584,0.4995798850038167,0.09431993541761627,18831,22,21.05
6019,57.8,956749,3.17,0.7354514201737274,45233,0.4988936492225234,0.2140028366896647,252187,16,15.05
6021,85,28029,2.92,0.7503915864846722,39349,0.505476470798102,0.17938563630525528,5721,22,21.05
6023,92.2,135034,2.47,0.8976430976430977,42197,0.5001184886769258,0.05754846927440496,28158,NA,NA
6025,52.4,178206,3.61,0.6634343735722744,41079,0.5115821016127403,0.3257858882416978,40114,14,13.05
6027,61.3,18373,2.23,0.8762466001813236,45955,0.5014967615522778,0.10123550862678932,2019,16,15.05
6029,60.3,865736,3.21,0.73418160358525,49026,0.5134902556899563,0.20342806583069203,195744,26,25.05
6031,64.8,150998,3.19,0.7219990881656934,46481,0.5560206095444973,0.18607531225579146,29900,12,11.05
6033,116.4,64158,2.34,0.8439939288811795,35578,0.5010442968920478,0.08976277315377662,15597,NA,NA
6035,81.7,32645,2.24,0.7994970662196145,51555,0.6683412467452903,0.06586000918976873,3563,28,27.05
6037,33.4,10038388,3.02,0.772813697642659,56196,0.49264393844908166,0.34723941732477365,1800265,18,17.05
6039,49.7,153187,3.35,0.707617770928551,45073,0.4821753804173983,0.21621939198495957,33968,16,15.05
6041,36.7,258349,2.41,0.9288538803129626,93257,0.4894928952695772,0.18213347061533042,20964,16,15.05
6043,67.6,17789,2.29,0.8950098633740046,47681,0.5020518297824498,0.06504019337793018,2651,24,23.05
6045,105.1,87544,2.51,0.8677586178768945,42980,0.5006282555058028,0.1272046056839989,17527,24,23.05
6047,65.3,263885,3.32,0.678757258620124,42462,0.5045834359664247,0.2548648085340205,67417,14,13.05
6049,96.4,9184,2.32,0.8678348678348679,37860,0.5078397212543554,0.06162891986062718,1673,NA,NA
6051,54.4,14146,2.82,0.848813209494324,56944,0.5168245440407182,0.16711437862293227,684,10,9.05
6053,50.6,428441,3.26,0.7072270645700107,58783,0.5118534407304624,0.3010589556088236,69475,16,15.05
6055,40.4,140295,2.74,0.8319836798939607,71379,0.4975088206992409,0.2300723475533697,14020,12,11.05
6057,83,98570,2.38,0.9389450329423542,56521,0.4937404889925941,0.06249365932839606,12367,20,19.05
6059,42.1,3116069,3.04,0.8426876146354071,76509,0.4940840526958806,0.30510941830877303,395483,14,13.05
6061,62.9,366280,2.67,0.94088580085344,73948,0.4879573004259037,0.10512449492191765,32427,16,15.05
6063,85.5,18966,2.26,0.9053213545266068,47333,0.5065907413265844,0.04455341136771064,2687,30,29.05
6065,49.4,2298032,3.24,0.800869487426829,56603,0.49758967673209076,0.2200974573025963,379985,16,15.05
6067,50.3,1465832,2.76,0.8664010036619537,55987,0.48922182078164483,0.2044211069208477,262251,18,17.05
6069,43.7,57557,3.33,0.7801702692243905,71077,0.4999044425526,0.20331149990444256,6202,12,11.05
6071,52.2,2094769,3.33,0.7856329106490598,53433,0.49745485063030814,0.2127762058728194,397766,10,9.05
6073,39.2,3223096,2.86,0.8604513929020116,64309,0.5022949983494132,0.23534111301680125,454876,16,15.05
6075,32.2,840763,2.32,0.87030216499033,81294,0.5089531770546516,0.35136774572620344,109524,26,25.05
6077,54.5,708554,3.16,0.7800147807446374,53274,0.497350942906257,0.2332355755524632,129390,20,19.05
6079,71.6,276517,2.51,0.8974259290693154,60691,0.5097444280098511,0.10549441806471212,38630,18,17.05
6081,31.5,748731,2.85,0.8832788591926762,93623,0.4920538885126968,0.34552997004264546,59232,12,11.05
6083,54.7,435850,2.92,0.7961136793561603,63985,0.5012802569691408,0.230120454284731,68017,18,17.05
6085,24.2,1868149,2.95,0.8697578251797807,96310,0.5026387081544352,0.37688696137192484,175690,10,9.05
6087,57,269278,2.72,0.8560338581499926,67256,0.49656488833101853,0.18362064483544888,39053,18,17.05
6089,118,178942,2.54,0.8927135920769157,44620,0.49094678722714624,0.049010293838226915,31707,NA,NA
6091,21.3,3021,2.38,0.9264887063655031,42833,0.49817941079112876,0.037073816617014234,438,28,27.05
6093,117.2,43895,2.26,0.8843411339720434,37170,0.4972092493450279,0.04891217678551088,10026,24,23.05
6095,43,425753,2.89,0.8748116907971668,66828,0.4976617898171005,0.20080422216637345,55534,14,13.05
6097,52.5,495078,2.59,0.871455025002961,64240,0.4904621090010059,0.16603444305745763,57179,16,15.05
6099,85.1,527367,3.08,0.7723669067164065,50125,0.49499684280586387,0.20630035629836527,105927,24,23.05
6101,102.9,95247,2.95,0.7847793198710781,52017,0.49711801946518003,0.2247104895692253,16743,14,13.05
6103,94.8,63152,2.63,0.8232694106641721,41001,0.49862237142133264,0.08381365594122119,12313,16,15.05
6105,98.5,13373,2.38,0.9081395348837209,34974,0.5143198983025499,0.05466237942122187,2562,24,23.05
6107,65.1,454033,3.36,0.6838874327493447,42031,0.500901916821024,0.22534485378816077,125775,14,13.05
6109,114.6,54079,2.28,0.9025225710161239,50306,0.5217921929029753,0.045452023890974316,7010,30,29.05
6111,54,840833,3.08,0.831326132466179,77348,0.4953230903163886,0.22803457999388702,91880,16,15.05
6113,46.7,207320,2.77,0.8549377345827844,54989,0.486865714836967,0.2206010032799537,39688,12,11.05
6115,83.2,73437,2.87,0.8082476966690291,46892,0.5079183517845228,0.11973528330405654,15862,10,9.05
8001,52.5,471206,2.98,0.8225857526899832,58946,0.5031918099514862,0.15057108780448467,64241,24,23.05
8003,152.4,16269,2.56,0.8482162162162162,32395,0.49001167865265227,0.07148564755055627,4396,26,25.05
8005,58.2,608310,2.63,0.9196493556799593,63265,0.49169502391872566,0.14789169995561474,67679,20,19.05
8007,72.3,12174,2.25,0.9157464664310954,46646,0.5094463610974207,0.0527353376047314,1405,22,21.05
8009,86.8,3701,2.3,0.8721017202692596,38000,0.4798703053228857,0.025668738178870575,736,26,25.05
8011,59.6,5895,2.19,0.7616793578925705,36791,0.6863443596268024,0.06988973706530958,923,24,23.05
8013,47.7,310032,2.45,0.9412060377282621,70961,0.502512643856118,0.1066954378902823,42167,18,17.05
8014,52.9,60699,2.57,0.9566291585127201,81898,0.49547768497009836,0.09524044877180843,3930,16,15.05
8015,94.4,18309,2.21,0.9113207547169812,51092,0.5351466491889235,0.02632585067453165,1502,20,19.05
8017,68.1,2002,2.63,0.9097978227060654,52554,0.524975024975025,0.05344655344655345,168,6,5.05
8019,34.8,9136,2.13,0.9680851063829787,67710,0.5170753064798599,0.03601138353765324,748,24,23.05
8021,1.2,8249,2.78,0.8472720407777987,36652,0.49836343799248395,0.03224633288883501,1491,30,29.05
8023,–,3581,2.46,0.7589724216093691,31321,0.5210834962301033,0.07288466908684725,850,NA,NA
8025,29.7,5551,3.78,0.8343627175743964,31151,0.5665645829580256,0.03855161232210413,1449,22,21.05
8027,–,4303,2.15,0.935330762385049,35000,0.4991866139902394,0.019753660237043922,736,28,27.05
8029,83.6,30214,2.41,0.8891747840470502,42452,0.5013569868272986,0.04084199377771894,4716,20,19.05
8031,39.4,649654,2.3,0.8611358141802204,53637,0.49985068975177555,0.1606547485276778,110299,NA,NA
8033,–,1862,2.64,0.8924570575056012,31875,0.5461868958109559,0.010741138560687433,398,22,21.05
8035,50.5,306974,2.76,0.9768021307672481,102964,0.49626026959937974,0.06968342595789871,12110,12,11.05
8037,46.3,52576,2.94,0.8913362295580951,72214,0.5304131162507608,0.1904290931223372,4780,10,9.05
8039,34.9,23855,2.82,0.9593936112615051,84963,0.5017396772165165,0.04133305386711381,1649,14,13.05
8041,67.4,655024,2.6,0.9379828512456477,58206,0.5031113363785144,0.07145692371577225,75033,22,21.05
8043,72.7,46809,2.21,0.8679434640796186,40423,0.5768762417483817,0.03341237796150313,6272,20,19.05
8045,78.5,57076,2.72,0.8587409226826143,56590,0.5113532833415095,0.14680426098535287,6786,14,13.05
8047,–,5605,2.14,0.9578898658028691,65670,0.5134701159678858,0.03479036574487065,413,24,23.05
