fips,median_household_income,percent_grad_high_school,percent_with_healthcare,total_population,average_household_size,perc_foreign_born,perc_male,median_age,poverty_population,opioid_presc_rate
39001,35560,0.7797133291483574,0.9971264367816092,28229,2.56,0.004711466931170073,0.49442063126571967,41,6832,83.9
39001,35560,0.7797133291483574,0.9971264367816092,28229,2.56,0.004711466931170073,0.49442063126571967,41,6832,83.9
39001,35560,0.7797133291483574,0.9971264367816092,28229,2.56,0.004711466931170073,0.49442063126571967,41,6832,83.9
39001,35560,0.7797133291483574,0.9971264367816092,28229,2.56,0.004711466931170073,0.49442063126571967,41,6832,83.9
39001,35560,0.7797133291483574,0.9971264367816092,28229,2.56,0.004711466931170073,0.49442063126571967,41,6832,83.9
39001,35560,0.7797133291483574,0.9971264367816092,28229,2.56,0.004711466931170073,0.49442063126571967,41,6832,83.9
39001,35560,0.7797133291483574,0.9971264367816092,28229,2.56,0.004711466931170073,0.49442063126571967,41,6832,83.9
39001,35560,0.7797133291483574,0.9971264367816092,28229,2.56,0.004711466931170073,0.49442063126571967,41,6832,83.9
39001,35560,0.7797133291483574,0.9971264367816092,28229,2.56,0.004711466931170073,0.49442063126571967,41,6832,83.9
39001,35560,0.7797133291483574,0.9971264367816092,28229,2.56,0.004711466931170073,0.49442063126571967,41,6832,83.9
39001,35560,0.7797133291483574,0.9971264367816092,28229,2.56,0.004711466931170073,0.49442063126571967,41,6832,83.9
39001,35560,0.7797133291483574,0.9971264367816092,28229,2.56,0.004711466931170073,0.49442063126571967,41,6832,83.9
39001,35560,0.7797133291483574,0.9971264367816092,28229,2.56,0.004711466931170073,0.49442063126571967,41,6832,83.9
39001,35560,0.7797133291483574,0.9971264367816092,28229,2.56,0.004711466931170073,0.49442063126571967,41,6832,83.9
39001,35560,0.7797133291483574,0.9971264367816092,28229,2.56,0.004711466931170073,0.49442063126571967,41,6832,83.9
39001,35560,0.7797133291483574,0.9971264367816092,28229,2.56,0.004711466931170073,0.49442063126571967,41,6832,83.9
39001,35560,0.7797133291483574,0.9971264367816092,28229,2.56,0.004711466931170073,0.49442063126571967,41,6832,83.9
39001,35560,0.7797133291483574,0.9971264367816092,28229,2.56,0.004711466931170073,0.49442063126571967,41,6832,83.9
39001,35560,0.7797133291483574,0.9971264367816092,28229,2.56,0.004711466931170073,0.49442063126571967,41,6832,83.9
39001,35560,0.7797133291483574,0.9971264367816092,28229,2.56,0.004711466931170073,0.49442063126571967,41,6832,83.9
39001,35560,0.7797133291483574,0.9971264367816092,28229,2.56,0.004711466931170073,0.49442063126571967,41,6832,83.9
39001,35560,0.7797133291483574,0.9971264367816092,28229,2.56,0.004711466931170073,0.49442063126571967,41,6832,83.9
39001,35560,0.7797133291483574,0.9971264367816092,28229,2.56,0.004711466931170073,0.49442063126571967,41,6832,83.9
39001,35560,0.7797133291483574,0.9971264367816092,28229,2.56,0.004711466931170073,0.49442063126571967,41,6832,83.9
39001,35560,0.7797133291483574,0.9971264367816092,28229,2.56,0.004711466931170073,0.49442063126571967,41,6832,83.9
39001,35560,0.7797133291483574,0.9971264367816092,28229,2.56,0.004711466931170073,0.49442063126571967,41,6832,83.9
39001,35560,0.7797133291483574,0.9971264367816092,28229,2.56,0.004711466931170073,0.49442063126571967,41,6832,83.9
39001,35560,0.7797133291483574,0.9971264367816092,28229,2.56,0.004711466931170073,0.49442063126571967,41,6832,83.9
39001,35560,0.7797133291483574,0.9971264367816092,28229,2.56,0.004711466931170073,0.49442063126571967,41,6832,83.9
39001,35560,0.7797133291483574,0.9971264367816092,28229,2.56,0.004711466931170073,0.49442063126571967,41,6832,83.9
39001,35560,0.7797133291483574,0.9971264367816092,28229,2.56,0.004711466931170073,0.49442063126571967,41,6832,83.9
39001,35560,0.7797133291483574,0.9971264367816092,28229,2.56,0.004711466931170073,0.49442063126571967,41,6832,83.9
39001,35560,0.7797133291483574,0.9971264367816092,28229,2.56,0.004711466931170073,0.49442063126571967,41,6832,83.9
39001,35560,0.7797133291483574,0.9971264367816092,28229,2.56,0.004711466931170073,0.49442063126571967,41,6832,83.9
39001,35560,0.7797133291483574,0.9971264367816092,28229,2.56,0.004711466931170073,0.49442063126571967,41,6832,83.9
39001,35560,0.7797133291483574,0.9971264367816092,28229,2.56,0.004711466931170073,0.49442063126571967,41,6832,83.9
39001,35560,0.7797133291483574,0.9971264367816092,28229,2.56,0.004711466931170073,0.49442063126571967,41,6832,83.9
39001,35560,0.7797133291483574,0.9971264367816092,28229,2.56,0.004711466931170073,0.49442063126571967,41,6832,83.9
39001,35560,0.7797133291483574,0.9971264367816092,28229,2.56,0.004711466931170073,0.49442063126571967,41,6832,83.9
39001,35560,0.7797133291483574,0.9971264367816092,28229,2.56,0.004711466931170073,0.49442063126571967,41,6832,83.9
39001,35560,0.7797133291483574,0.9971264367816092,28229,2.56,0.004711466931170073,0.49442063126571967,41,6832,83.9
39001,35560,0.7797133291483574,0.9971264367816092,28229,2.56,0.004711466931170073,0.49442063126571967,41,6832,83.9
39001,35560,0.7797133291483574,0.9971264367816092,28229,2.56,0.004711466931170073,0.49442063126571967,41,6832,83.9
39001,35560,0.7797133291483574,0.9971264367816092,28229,2.56,0.004711466931170073,0.49442063126571967,41,6832,83.9
39001,35560,0.7797133291483574,0.9971264367816092,28229,2.56,0.004711466931170073,0.49442063126571967,41,6832,83.9
39001,35560,0.7797133291483574,0.9971264367816092,28229,2.56,0.004711466931170073,0.49442063126571967,41,6832,83.9
39001,35560,0.7797133291483574,0.9971264367816092,28229,2.56,0.004711466931170073,0.49442063126571967,41,6832,83.9
