fips,total_population
13115,96169
13117,196236
13119,22110
13121,983903
13123,28673
13125,3087
13127,81743
13129,55889
13131,25243
13133,16331
13135,859234
13137,43527
13139,187916
13141,8881
13143,28565
13145,32776
13147,25498
13149,11617
13151,211512
13153,147570
13155,9408
13157,61420
13159,13593
13161,14990
13163,16374
13165,8922
13167,9794
13169,28738
13171,18114
13173,10403
13175,47886
13177,28946
13179,64427
13181,7720
13183,16588
13185,113203
13187,30921
13189,21582
13191,14007
13193,14045
13195,28232
13197,8739
13199,21297
13201,5936
13205,22982
13207,26915
13209,8968
13211,17900
13213,39401
13215,200285
13217,102645
13219,34400
13221,14688
13223,147400
13225,27086
13227,29740
13229,18934
13231,17812
13233,41215
13235,11590
13237,21247
13239,2326
13241,16266
13243,7315
13245,201291
13247,86901
13249,5074
13251,14206
13253,8769
13255,63873
13257,25620
13259,5868
13261,31429
13263,6490
13265,1721
13267,25302
13269,8401
13271,16416
13273,9213
13275,44824
13277,40787
13279,27210
13281,10800
13283,6762
13285,68867
13287,8338
13289,8509
13291,21725
13293,26528
13295,68285
13297,86201
13299,35723
13301,5561
13303,20785
13305,30046
13307,2720
13309,7956
13311,27791
13313,103456
13315,8972
13317,9991
13319,9386
13321,21156
15001,191482
15003,984178
15005,85
15007,69691
15009,160863
16001,417501
16003,3880
16005,83604
16007,5939
16009,9088
16011,45407
16013,21309
16015,6885
16017,41066
16019,107788
16021,10961
16023,2653
16025,1052
16027,198921
16029,6808
16031,23369
16033,901
16035,8560
16037,4234
16039,26175
16041,12914
16043,12945
16045,16731
16047,15233
16049,16312
16051,26792
16053,22653
16055,145046
16057,38339
16059,7790
16061,3812
16063,5260
16065,37916
16067,20279
16069,39779
16071,4245
16073,11364
16075,22700
16077,7731
16079,12571
16081,10285
16083,80004
16085,9720
16087,10025
17059,5385
17061,13502
17063,50277
17065,8322
17067,18738
17069,4228
17071,7042
17073,49883
17075,29053
17077,59534
17079,9635
17081,38578
17083,22625
17085,22397
17087,12829
17089,524886
17091,112221
17093,120036
17095,52112
17097,702898
17099,112579
17101,16665
17103,35027
17105,37689
17107,29956
17109,32009
17111,307357
17113,173114
17115,109193
17117,46844
17119,267356
17121,38665
17123,12173
17125,14126
17127,15016
17129,12611
17131,16107
17133,33539
17135,29348
17137,35129
17139,14927
17141,52397
17143,187112
17145,21810
17147,16495
17149,16144
17151,4331
17153,5871
17155,5822
17157,33069
17159,16127
17161,147161
17163,267029
17165,24783
17167,199016
17169,7311
17171,5198
17173,22115
17175,5859
17177,46625
17179,135697
17181,17551
17001,67081
17003,7364
17005,17313
17007,53851
17009,6859
17011,34115
17013,4999
17015,14926
17017,13254
17019,205766
17021,34200
17023,16159
17025,13582
17027,37929
17029,53037
17031,5236393
17033,19541
17035,10943
17037,104345
17039,16388
17041,19826
17043,930412
17045,17992
17047,6649
17049,34332
17051,22136
17053,13835
17055,39694
17057,36323
17183,80368
17185,11652
17187,17701
17189,14457
17191,16555
17193,14464
17195,57525
17197,683995
17199,67121
17201,290439
17203,39106
18001,34642
18003,363453
18005,79488
18007,8752
18009,12476
18011,60511
18013,15011
18015,20014
18017,38476
18019,113181
18021,26686
18023,32835
18025,10591
18027,32411
18029,49679
18031,26240
18033,42449
18035,117335
18037,42291
18039,200685
18041,23773
18043,75900
18045,16888
18047,22935
18049,20527
18051,33668
18053,68896
18055,32815
18057,296635
18059,71328
18061,39230
18063,153435
18065,49146
18067,82765
18069,36863
18071,43471
18073,33448
18075,21255
18077,32453
18079,28113
18081,145645
18083,38062
18085,77983
18087,38084
18089,491596
18091,111280
18093,45814
18095,130280
18097,926335
18099,46962
18101,10262
18103,36211
18105,142404
18107,38172
18109,69403
18111,14057
18113,47546
18115,6033
18117,19725
18119,21192
18121,17107
18123,19414
18125,12687
18127,166570
18129,25567
18131,13047
18133,37650
18135,25596
18137,28612
18139,16991
18141,267246
18143,23783
18145,44441
18147,20856
18149,23117
18151,34267
18153,21111
18155,10500
18157,180952
18159,15573
18161,7299
18163,181305
18165,15860
18167,108268
18169,32358
18171,8367
18173,60995
18175,27930
18177,67866
18179,27796
18181,24388
18183,33330
19001,7426
19003,3892
19005,14060
19007,12669
19009,5869
19011,25803
19013,132496
19015,26401
19017,24539
19019,20998
19021,20507
19023,14966
19025,9914
19027,20629
19029,13590
19031,18375
19033,43481
19035,11853
19037,12244
19039,9280
19041,16537
19043,17806
19045,48365
19047,17252
19049,74892
19051,8742
19053,8249
19055,17507
19057,40208
19059,16967
19061,95906
19063,9917
19065,20589
19067,16050
19069,10489
19071,7106
19073,9174
19075,12407
19077,10740
19079,15297
19081,11092
