fips,percent_with_healthcare
39001,0.9971264367816092
39003,1
39005,1
39007,1
39009,0.997789240972734
39011,1
39013,1
39015,1
39017,0.9963963022927874
39019,0.9934243803743045
39021,1
39023,0.9993721222268732
39025,0.9896948474237118
39027,1
39029,0.9979293386825417
39031,1
39033,1
39035,0.9971026400570823
39037,1
39039,0.9969558599695586
39041,0.9971804511278195
39043,0.9957235716729388
39045,0.9990162321692081
39047,1
39049,0.9931288722472061
39051,0.9988998899889989
39053,1
39055,0.9875096376252891
39057,0.9969282600079271
39059,0.9970813571689164
39061,0.9943011707377506
39063,0.992843611871185
39065,0.9746835443037974
39067,1
39069,1
39071,1
39073,0.9916851441241685
39075,0.8037558685446009
39077,1
39079,1
39081,0.9960707269155207
39083,0.9791398403296421
39085,0.9983366007247668
39087,1
39089,0.9983922829581994
39091,0.9784172661870504
39093,0.998674348646306
39095,0.998512812690665
39097,1
39099,0.9953873151165705
39101,1
39103,1
39105,1
39107,1
39109,0.9994248741912294
39111,1
39113,0.9979052529809861
39115,1
39117,0.9744471744471744
39119,0.9991706750704926
39121,1
39123,1
39125,0.9907335907335907
39127,1
39129,1
39131,1
39133,1
39135,1
39137,0.999137187230371
39139,0.9985013915649754
39141,1
39143,0.9975124378109452
39145,0.99828701941378
39147,0.9978384220480951
39149,1
39151,0.999046571323799
39153,0.9983886561392201
39155,1
39157,0.9946446663771892
39159,1
39161,1
39163,0.9850746268656716
39165,0.9927582729856083
39167,1
39169,0.9892976588628762
39171,0.9948942377826404
39173,0.9998629761578515
39175,1
1007,1
1009,0.9994232987312572
1011,1
1013,1
1015,1
1017,1
1019,1
1021,1
1023,1
1025,1
1027,1
1029,1
1031,0.9844543147208121
1033,1
1035,1
1037,1
1039,0.9965332492908919
1041,0.9977603583426652
1043,1
1045,1
1047,0.9941383352872216
1049,1
1051,1
1053,0.9948798739661284
1055,0.9918606311580751
1057,1
1059,1
1061,1
1063,1
1065,1
1067,1
1069,0.998085701663967
1071,1
1073,0.9962864721485412
1075,1
1077,0.99074482150727194
1079,0.9683937823834197
1081,0.9980043541364296
1083,1
1085,1
1087,1
1089,0.9978091909655208
1091,1
1093,1
1095,0.9945513366252341
