fips,poverty_population
46049,373
46051,582
46053,769
46055,343
46057,424
46059,271
46061,406
46063,174
46065,1663
46067,926
46069,168
46071,1059
46073,176
46075,89
46077,505
46079,1732
46081,3115
46083,2158
46085,775
46087,467
46089,478
46091,701
46093,2764
46095,921
46097,234
46099,20578
46101,910
46102,7482
46103,13079
46105,396
46107,255
46109,2031
46111,238
46115,798
46117,240
46119,74
46121,4471
46123,1212
46125,761
46127,783
46129,650
46135,2993
46137,1103
47105,7185
47107,10220
47109,5319
47111,4218
47113,18521
47115,5350
47117,4986
47119,12667
47121,2377
47123,8627
47125,28750
47127,668
47129,4185
47131,6309
47133,4668
47135,1995
47137,808
47139,3094
47141,17830
47143,7664
47145,9620
47147,8005
47149,34475
47151,5903
47153,2335
47155,14128
47157,196471
47159,3066
47161,2560
47163,26924
47165,15644
47167,8292
47169,1345
47171,3974
47173,4036
47175,988
47177,8329
47179,21842
47181,3211
47183,6075
47185,5011
47187,10054
47189,12132
47001,13309
47003,7727
47005,3667
47007,2697
47009,17305
47011,19357
47013,9203
47015,2500
47017,5713
47019,13021
47021,5396
47023,3516
47025,6658
47027,1801
47029,9111
47031,9818
47033,2838
47035,9300
47037,116031
47039,2470
47041,3887
47043,8116
47045,6646
47047,5351
47049,4577
47051,6669
47053,9080
47055,4627
47057,4647
47059,13647
47061,3797
47063,13193
47065,54036
47067,1793
47069,5636
47071,5920
47073,10661
47075,4107
47077,5925
47079,5862
47081,4738
47083,1860
47085,2856
47087,3034
47089,8343
47091,4123
47093,69061
47095,1319
47097,6532
47099,8443
47101,2292
47103,5517
48001,8274
48003,2032
48005,16497
48007,4509
48009,862
48011,130
48013,7619
48015,3289
48017,1319
48019,2662
48021,10664
48023,423
48025,5274
48027,48543
48029,312088
48031,954
48033,10
48035,2549
48037,16693
48039,35762
48041,53207
48043,1238
48045,307
48047,2726
48049,6581
48051,2761
48053,6989
48055,7169
48057,4136
48059,2548
48061,139768
48063,2454
48065,435
48067,5915
48069,1339
48071,3921
48073,10688
48075,1177
48077,1246
48079,591
48081,361
48083,1924
48085,64824
48087,675
48089,3081
48091,10423
48093,3107
48095,298
48097,5292
48099,8631
48101,340
48103,606
48105,635
48107,1358
48109,677
48111,1183
48113,472926
48115,1924
48117,3955
48119,1177
48121,63220
48123,2817
48125,417
48127,2003
48129,585
48131,2617
48133,3162
48135,19162
48137,205
48139,18755
48141,185728
48143,9340
48145,3417
48147,5305
48149,3021
48151,666
48153,1375
48155,114
48157,53761
48159,1726
48161,2683
48163,3321
48165,2177
48167,41985
48169,432
48171,2791
48173,40
48175,1358
48177,4009
48179,2824
48181,19420
48183,21769
48185,4701
48187,13924
48189,7548
48191,844
48193,1159
48195,939
48197,585
48199,6684
48201,774568
48203,11151
48205,295
48207,1030
48209,28783
48211,502
48213,14572
48215,277104
48217,7049
48219,3297
48221,6161
48223,6972
48225,4918
48227,4787
48229,1192
48231,16112
48233,3493
48235,191
48237,1324
48239,1765
48241,5912
48243,123
48245,47095
48247,915
48249,9128
48251,18392
48253,2285
48255,3079
48257,15016
48259,2862
48261,151
48263,74
48265,7718
48267,912
48269,19
48271,572
48273,7849
48275,605
48277,9076
48279,3173
48281,2923
48283,972
48285,1765
48287,2374
48289,2322
48291,12548
48293,5189
48295,317
48297,1567
48299,2841
48301,33
48303,54155
48305,1106
48307,1522
48309,49881
48311,92
48313,1938
48315,2264
48317,692
48319,577
48321,7833
48323,14872
48325,6656
48327,317
48329,13238
48331,4159
48333,688
48335,766
48337,2878
48339,59856
48341,4421
48343,2346
48345,181
48347,14752
48349,9794
48351,1798
48353,3108
48355,61965
48357,1447
48359,214
48361,12691
48363,5425
48365,3509
48367,11785
48369,1696
48371,1643
48373,7279
48375,25466
48377,1586
48379,1206
48381,13076
48383,552
48385,541
48387,2321
48389,1895
48391,1203
48393,14
48395,2841
48397,5310
48399,2071
48401,8510
48403,2840
48405,2105
48407,5419
48409,9949
48411,792
48413,630
48415,1527
48417,635
48419,5553
48421,376
48423,37048
48425,1158
48427,22663
48429,1751
48431,208
48433,264
48435,328
48437,1595
48439,283264
48441,22395
48443,186
48445,1756
48447,199
48449,6848
48451,16202
48453,180220
48455,2381
48457,3159
48459,5322
48461,657
48463,5248
48465,9738
48467,8787
48469,14531
48471,12642
48473,7505
48475,1831
48477,4325
48479,82307
48481,7178
48483,862
48485,20712
48487,2275
48489,7604
48491,35014
48493,4783
48495,1040
48497,7015
48499,6073
48501,979
48503,2751
48505,5334
48507,3943
49047,3261
49049,71110
49051,2633
49053,21893
49055,414
49057,30547
49001,797
49003,4779
49005,17713
49007,3113
49009,47
49011,24718
49013,2019
49015,1188
49017,873
49019,1740
49021,9727
49023,1464
49025,562
49027,1602
49029,557
49031,376
49033,333
49035,131630
49037,4149
49039,4043
49041,2973
49043,3001
49045,4339
50001,3124
50003,4735
50005,3733
50007,17045
50009,929
50011,4147
50013,598
50015,2887
50017,3498
50019,4070
50021,7276
50023,5729
50025,5421
50027,6041
51001,6384
51003,9714
51005,2682
51007,1471
51009,4086
51011,2668
51013,19996
51015,6694
51017,347
51019,7372
51021,621
51023,2701
51025,3298
51027,5841
51029,2867
51031,7309
51033,3601
51035,5017
51036,933
51037,2589
51041,24002
51043,1556
51045,611
51047,4320
51049,1996
51051,3225
51053,4061
51057,1533
51059,66762
51061,3762
51063,1551
51065,1618
51067,8123
51069,5247
51071,1891
51073,2735
51075,1163
51077,3244
51079,1853
51081,1490
51083,6675
51085,5976
51087,33914
51089,9520
51091,282
51093,4137
51095,5648
51097,949
51099,1366
51101,1897
51103,1246
51105,6027
51107,14047
51109,3385
51111,2279
51113,1613
51115,613
51117,5975
51119,982
51121,21707
51125,2159
51127,1327
51131,2730
51133,1352
51135,3444
51137,4105
51139,3880
51141,3818
51143,9944
51145,1252
51147,3883
51149,3370
51153,28739
51155,4506
51157,733
51159,748
51161,7607
51163,3085
51165,8471
51167,5777
51169,4406
51171,5138
51173,5815
51175,2649
51177,10396
51179,6948
51181,881
51183,1362
51185,7518
51187,3696
51191,6845
51193,2323
51195,8414
51197,4356
51199,4198
51510,12359
51520,3496
51530,1755
51540,10995
51550,21734
51570,1974
51580,1437
51590,9629
51595,1907
51600,1593
51610,361
51620,1762
51630,4108
51640,1766
51650,20187
51660,14326
51670,4165
51678,678
51680,16775
51683,3945
51685,1232
51690,3105
51700,26984
51710,46288
51720,949
51730,8795
51735,502
51740,17000
51750,5497
51760,51828
51770,20514
51775,2578
51790,4052
51800,9835
51810,36267
51820,3796
51830,2401
51840,4200
53001,4019
53003,3301
53005,26013
53007,10466
53009,10682
53011,49314
53013,690
53015,17609
53017,5835
53019,1659
53021,15406
53023,252
53025,16295
53027,12357
53029,7430
53031,3508
53033,226204
53035,26349
53037,8804
53039,3150
53041,12126
53043,1562
53045,10166
53047,8646
53049,3918
53051,2753
53053,102233
53055,1823
53057,18815
53059,1526
53061,74826
53063,74110
53065,7753
53067,32101
53069,674
53071,9535
53073,32328
53075,12580
53077,51694
54001,3482
54003,15235
54005,5529
54007,2941
54009,2960
54011,20110
54013,1314
54015,2530
54017,1190
54019,8683
54021,1781
54023,1791
54025,6530
54027,4721
54029,4835
54031,1863
54033,11072
54035,4743
54037,6222
54039,29703
54041,3357
54043,5870
54045,6902
54047,6943
54049,8980
54051,4128
54053,5075
54055,13236
54057,4562
54059,6654
54061,20923
54063,2252
54065,2218
54067,4636
54069,6658
54071,1500
54073,1260
54075,1382
54077,4574
54079,5494
54081,13322
54083,4610
54085,2071
54087,3165
54089,2184
54091,2731
54093,1013
54095,1765
54097,4189
54099,8468
54101,2307
54103,3169
54105,792
54107,14825
54109,4934
55001,2704
55003,2398
55005,5640
55007,1719
55009,28969
55011,1500
55013,2371
55015,3434
55017,6081
55019,5504
55021,4844
55023,2023
55025,64062
55027,7658
55029,2766
55031,6713
55033,6140
55035,14862
55037,409
55039,9071
55041,1505
55043,7318
55045,3253
55047,2274
55049,2448
55051,653
55053,2810
55055,8597
55057,3567
55059,24823
55061,1800
55063,16616
55065,1800
55067,3063
55069,2800
55071,7957
55073,14095
55075,5168
55077,2069
55078,1535
55079,201124
55081,6676
55083,3466
55085,3632
55087,15723
55089,4467
55091,947
55093,4615
55095,4407
55097,10095
55099,1860
55101,23768
55103,2609
55105,23498
55107,2252
55109,5502
55111,7656
55113,2673
55115,4451
55117,10348
55119,2527
55121,3078
55123,4757
55125,3047
55127,13499
55129,2022
55131,7375
55133,20433
55135,5232
55137,2385
55139,19209
55141,7996
56001,9510
56003,1408
56005,3412
56007,2280
56009,1308
56011,362
56013,5637
56015,2261
56017,500
56019,534
56021,9369
56023,1435
56025,8407
56027,328
56029,2024
56031,1391
56033,2381
56035,812
56037,5058
56039,1638
56041,2845
56043,1137
56045,958
11001,110365
