fips,opioid_death_rate
45029,213.591
45031,80.317
45033,142.589
45035,123.559
45037,87.26
45039,123.604
45041,124.692
45043,182.413
45045,152.577
45047,191.066
45049,NA
45051,174.969
45053,105.393
45055,171.615
45057,69.201
45059,233.613
45061,113.411
45063,114.607
45065,NA
45067,97.712
45069,126.183
45071,126.054
45073,226.573
45075,131.964
45077,203.479
45079,88.634
45081,99.025
45083,163.868
45085,87.527
45087,252.954
45089,65.717
45091,102.891
46005,270.703
46007,NA
46009,NA
46011,90.816
46013,161.01
46019,NA
46023,NA
46027,184.58
46029,174.607
46031,NA
46033,255.933
46035,165.804
46037,NA
46047,423.419
46051,NA
46057,NA
46059,NA
46065,159.091
46079,216.903
46081,185.91
46083,86.288
46087,NA
46091,NA
46093,148.052
46095,NA
46099,133.463
46103,136.232
46109,NA
46113,NA
46121,NA
46123,382.374
46125,NA
46127,187.492
46129,NA
46135,172.444
47001,213.338
47003,172.69
47005,193.581
47007,190.801
47009,183.415
47011,162.695
47013,282.016
47015,213.873
47017,160.188
47019,242.469
47021,185.557
47023,166.161
47025,214.126
47027,464.396
47029,306.653
47031,201.163
47033,159.6
47035,172.193
47037,138.952
47039,212.422
47041,346.057
47043,189.764
47045,228.068
47047,133.872
47049,343.814
47051,177.458
47053,161.94
47055,232.026
47057,225.381
47059,253.589
47061,216.596
47063,225.758
47065,161.291
47067,NA
47069,196.58
47071,186.923
47073,203.313
47075,140.032
47077,176.12
47079,250.696
47081,152.295
47083,258.176
47085,201.668
47087,198.859
47089,155.039
47091,202.771
47093,155.437
47095,317.46
47097,164.345
47099,194.982
47101,NA
47103,181.305
47105,145.761
47107,198.675
47109,258.338
47111,268.657
47113,120.824
47115,239.049
47117,191.133
47119,138.918
47121,374.844
47123,213.183
47125,107.799
47129,259.813
47131,189.679
47133,299.306
47135,NA
47137,NA
47139,226.568
47141,172.525
47143,317.49
47145,329.084
47147,160.486
47149,123.276
47151,191.37
47153,268.51
47155,208.952
47157,92.446
47159,231.398
47161,174.48
47163,166.595
47165,142.172
47167,135.393
47169,NA
47171,248.321
47173,203.762
47175,NA
47177,217.198
47179,187.539
47181,173.518
47183,199.958
47185,315.162
47187,73.936
47189,149.118
48001,173.208
48003,123.874
48005,232.37
48007,252.712
48009,390.67
48013,81.972
48015,110.895
48019,137.766
48021,171.636
48023,NA
48025,88.55
48027,99.586
48029,78.551
48031,219.452
48035,265.237
48037,183.252
48039,95.428
48041,69.414
48043,NA
48049,185.519
48051,180.18
48053,214.086
48055,143.34
48057,127.476
48059,303.907
48061,57.328
48063,163.208
48065,NA
48067,256.79
48071,110.278
48073,166.447
48075,NA
48077,372.805
48081,NA
48083,NA
48085,53.109
48089,195.062
48091,123.156
48093,170.573
48097,168.084
48099,96.404
48111,NA
48113,80.505
48115,NA
48117,143.388
48121,56.687
48123,119.818
48129,NA
48131,NA
48133,213.418
48135,149.242
48139,94.956
48141,63.729
48143,129.624
48145,162.103
48147,191.002
48149,155.076
48151,NA
48153,NA
48157,38.989
48159,197.982
48161,270.077
48165,NA
48167,109.886
48171,237.548
48175,NA
48177,167.657
48179,215.622
48181,166.101
48183,143.036
48185,159.011
48187,79.863
48189,72.965
48193,397.399
48195,NA
48197,NA
48199,133.163
48201,71.504
48203,217.934
48207,NA
48209,79.229
48213,297.869
48215,28.358
48217,199.561
48219,98.818
48221,223.367
48223,151.099
48225,224.136
48227,193.418
48231,144.451
48233,283.576
48237,320.22
48239,NA
48241,171.118
48245,96.985
48249,80.196
48251,164.754
48253,169.924
48255,NA
48257,108.154
48259,129.29
48265,347.546
48267,NA
48273,78.889
48275,NA
48277,164.688
48279,NA
48281,173.41
48285,151.446
48287,123.131
48289,254.35
48291,144.424
48293,238.623
48297,NA
48299,324.133
48303,94.347
48307,NA
48309,132.697
48313,228.784
48315,433.626
48319,NA
48321,121.01
48323,53.74
48325,91.309
48329,127.949
48331,197.017
48335,240.826
48337,298.753
48339,88.277
48341,135.624
48343,222.346
48347,130.687
48349,204.027
48351,157.109
48353,200.093
48355,116.784
48357,NA
48361,131.821
48363,221.01
48365,251.149
48367,179.232
48371,NA
48373,208.699
48375,213.52
48379,220.965
48381,167.546
48387,212.993
48389,NA
48391,NA
48395,167.154
48397,51.076
48399,258.423
48401,132.747
48403,223.236
48405,324.519
48407,212.943
48409,130.072
48411,NA
48415,NA
48419,175.926
48423,80.341
48425,NA
48427,NA
48429,302.847
48437,NA
48439,90.834
48441,174.314
48445,218.767
48449,101.252
48451,136.841
48453,70.873
48455,242.349
48457,150.094
48459,205.033
48463,124.611
48465,42.961
48467,139.822
48469,88.68
48471,114.711
48473,79.816
48475,241.379
48477,125.513
48479,57.155
48481,107.823
48483,NA
48485,306.437
48487,232.702
48489,NA
48491,77.546
48493,80.446
48495,NA
48497,203.243
48499,144.708
48501,NA
48503,429.705
49003,109.148
49005,42.361
49007,299.034
49011,56.971
49013,172.1
49015,195.771
49017,NA
49019,NA
49021,88.111
49025,NA
49027,NA
49035,96.936
49039,95.209
49041,141.064
49043,64.505
49045,100.258
49047,137.465
49049,43.39
49051,NA
49053,98.599
49057,128.454
50001,178.576
50003,301.18
50005,187.914
50007,156.626
50009,323.834
50011,192.17
50013,NA
50015,189.476
50017,193.644
50019,290.362
50021,288.316
50023,234.172
50025,268.861
50027,270.29
51001,261.025
51003,105.728
51005,NA
51009,151.74
51011,277.868
51013,29.124
51015,190.674
51019,115.444
51021,NA
51023,81.249
51025,160.069
51027,270.538
51029,181.84
51031,131.023
51033,122.606
51035,155.769
51037,173.139
51041,68.73
51043,194.796
51047,155.741
51049,NA
51051,193.747
51053,74.616
51057,NA
51059,27.05
51061,137.544
51063,NA
51065,140.84
51067,189.053
51069,120.823
51071,195.764
51073,198.85
51075,NA
51077,191.964
51079,123.897
51081,NA
51083,105.738
51085,59.392
51087,69.525
51089,225.484
51093,101.104
51095,92.737
51097,NA
51099,NA
51101,NA
51103,264.309
51105,194.384
51107,24.615
51109,153.252
51111,NA
51113,206.454
51115,NA
51117,168.328
51119,194.841
51121,57.808
51125,228.664
51131,288.327
51133,204.549
51135,NA
51137,222.329
51139,173.332
51141,234.336
51143,165.351
51145,NA
51147,120.992
51149,68.701
51153,32.512
51155,169.576
51157,NA
51159,273.535
51161,93.586
51163,160.772
51165,141.703
51167,164.414
51169,205.198
51171,192.241
51173,157.749
51175,110.76
51177,68.177
51179,49.182
51183,NA
51185,218.268
51187,155.791
51191,99.605
51193,NA
51195,206.485
51197,186.104
51199,57.373
51510,24.389
51520,324.292
51530,NA
51540,108.714
51550,76.49
51570,112.537
51590,190.94
51600,NA
51620,NA
51630,NA
51640,295.203
51650,125.545
51660,99.853
51670,140.752
51678,NA
51680,120.93
51683,NA
51690,312.384
51700,144.095
51710,94.241
51720,NA
51730,150.555
51735,183.074
51740,148.028
51750,NA
51760,74.383
51770,178.607
51775,160.476
51790,283.216
51800,76.171
51810,64.295
51820,233.015
51840,159.907
53001,124.753
53003,318.3
53005,96.032
53007,213.524
53009,277.592
53011,144.534
53013,558.659
53015,262.457
53017,145.184
53019,NA
53021,55.457
53025,162.487
53027,325.292
53029,147.635
53031,244.067
53033,97.443
53035,164.268
53037,140.418
53039,230.036
53041,249.137
53043,289.855
53045,265.282
53047,271.935
53049,357.664
53051,297.188
53053,164.633
53055,232.572
53057,227.197
53059,191.138
53061,143.089
53063,198.569
53065,285.785
53067,184.942
53069,NA
53071,198.873
53073,170.664
53075,98.258
53077,139.002
54003,105.704
54005,100.806
54009,95.748
54011,129.184
54019,69.941
54025,59.525
54027,154.5
54029,148.699
54031,NA
54033,57.018
54035,NA
54037,97.573
54039,85.91
54043,94.197
54045,80.119
54047,161.956
54049,49.524
54051,NA
54053,111.836
54055,104.187
54057,72.963
54059,210.979
54061,43.012
54065,NA
54067,NA
54069,82.322
54077,NA
54079,49.174
54081,79.633
54083,NA
54087,NA
54099,128.297
54107,91.076
54109,96.494
55001,348.797
55003,280.005
55005,220.206
55007,141.025
55009,135.56
55011,NA
55013,302.373
55015,90.812
55017,163.396
55019,164.945
55021,172.15
55023,153.177
55025,115.948
55027,170.323
55029,202.994
55031,232.136
55033,125.268
55035,164.133
55039,180.138
55041,286.849
55043,99.59
55045,126.77
55047,186.976
55049,147.967
55051,NA
55053,238.304
55055,138.257
55057,388.216
55059,196.215
55061,166.626
55063,165.93
55065,125.351
55067,249.727
55069,261.63
55071,208.711
55073,128.316
55075,288.953
55077,245.57
55079,168.69
55081,168.775
55083,192.359
55085,280.891
55087,138.192
55089,148.334
55091,NA
55093,138.222
55095,190.888
55097,103.624
55099,258.933
55101,183.97
55103,228.885
55105,241.307
55107,233.595
55109,113.599
55111,215.797
55113,287.128
55115,182.651
55117,170.671
55119,151.671
55121,148.483
55123,262.868
55125,293.912
55127,166.086
55129,268.405
55131,149.669
55133,135.785
55135,285.254
55137,136.578
55139,181.298
55141,151.832
56001,83.647
56003,299.875
56005,131.139
56007,211.295
56009,162.075
56011,NA
56013,203.767
56015,328.603
56017,427.442
56019,NA
56021,205.837
56023,NA
56025,170.288
56029,183.968
56031,253.456
56033,274.834
56037,169.818
56039,NA
56041,134.79
56043,NA
56045,NA
