fips,opioid_death_rate
13311,145.409
13313,151.068
13315,NA
13317,214.176
13321,110.854
15001,129
15003,103.062
15007,140.221
15009,82.232
16001,131.298
16003,NA
16005,189.625
16009,582.93
16011,141.59
16013,NA
16015,NA
16017,244.499
16019,130.979
16021,214.023
16027,154.465
16031,NA
16035,458.986
16039,230.61
16043,NA
16045,273.51
16047,138.294
16049,173.31
16051,107.762
16053,NA
16055,261.809
16057,125.013
16059,NA
16067,130.966
16069,222.943
16073,184.388
16075,273.604
16077,NA
16079,449.727
16083,179.611
16085,NA
16087,245.773
17001,159.212
17003,NA
17005,213.98
17007,153.262
17009,NA
17011,110.915
17015,247.61
17017,NA
17019,39.824
17021,267.195
17023,238.424
17025,NA
17027,135.175
17029,145.196
17031,78.985
17033,150.197
17035,NA
17037,101.408
17039,172.563
17041,NA
17043,72.522
17045,222.02
17049,110.51
17051,201.937
17053,147.33
17055,250.281
17057,230.752
17059,NA
17061,267.318
17063,198.267
17065,NA
17067,135.077
17069,NA
17071,NA
17073,166.396
17075,197.642
17077,132.495
17079,NA
17081,135.205
17083,254.257
17085,156.178
17087,NA
17089,60.559
17091,127.263
17093,59.345
17095,221.838
17097,80.507
17099,205.166
17101,225.927
17103,195.615
17105,216.284
17107,189.657
17109,164.537
17111,99.999
17113,130.497
17115,129.517
17117,217.827
17119,187.764
17121,115.364
17123,268.029
17125,259.125
17127,231.955
17129,NA
17131,241.577
17133,85.124
17135,231.418
17137,140.036
17139,148.378
17141,134.574
17143,160.535
17145,112.375
17147,193.237
17149,194.357
17155,NA
17157,76.638
17159,188.324
17161,144.353
17163,149.947
17165,86.395
17167,145.317
17169,NA
17173,147.35
17175,NA
17177,181.922
17179,162.22
17181,139.438
17183,167.71
17185,200.139
17187,201.404
17189,183.694
17191,NA
17193,139.938
17195,182.185
17197,88.321
17199,76.969
17201,139.572
17203,122.637
18001,153.27
18003,165.765
18005,135.132
18009,386.863
18011,171.686
18013,214.592
18015,125.188
18017,208.191
18019,166.335
18021,201.452
18023,163.293
18025,275.168
18027,151.658
18029,192.577
18031,112.79
18033,187.152
18035,271.619
18037,119.853
18039,183.04
18041,312.888
18043,197.428
18045,194.104
18047,162.888
18049,297.929
18051,213.631
18053,285.343
18055,270.094
18057,89.135
18059,198.055
18061,218.45
18063,123.28
18065,230.828
18067,207.102
18069,181.319
18071,281.735
18073,131.606
18075,285.09
18077,252.946
18079,255.782
18081,128.963
18083,209.305
18085,155.515
18087,127.845
18089,120.82
18091,253.602
18093,294.389
18095,245.174
18097,166.803
18099,201.907
18101,314.62
18103,153.276
18105,119.591
18107,170.72
18109,170.737
18111,251.365
18113,186.826
18115,NA
18117,248.254
18119,287.908
18121,184.524
18123,205.631
18125,345.909
18127,143.035
18129,211.964
18131,173.776
18133,224.383
18135,306.993
18137,159.468
18139,342.363
18141,217.73
18143,311.842
18145,209.819
18147,184.037
18149,291.19
18151,178.802
18153,187.482
18155,256.483
18157,87.738
18159,210.776
18161,NA
18163,224.52
18165,204.538
18167,199.201
18169,251.873
18171,NA
18173,129.604
18175,187.929
18177,285.422
18179,139.54
18181,208.342
18183,200.305
19001,NA
19005,187.266
19007,248.756
19009,NA
19011,233.472
19013,186.601
19015,241.218
19017,169.368
19019,204.84
19021,NA
19023,189.304
19025,274.223
19027,176.151
19029,357.224
19031,243.85
19033,188.066
19035,286.757
19039,290.042
19041,128.574
19043,187.607
19045,186.011
